"DMS_ORIG","DMS_DEST","SCTG2","DMS_MODE","Total KTons in 2015"
"Birmingham AL","Birmingham AL","Plastics/rubber","Truck","76.930260"
"Birmingham AL","Mobile AL","Plastics/rubber","Truck","1.088090"
"Birmingham AL","Rest of AL","Plastics/rubber","Truck","25.370155"
"Birmingham AL","Phoenix AZ","Plastics/rubber","Truck","0.254355"
"Birmingham AL","Arkansas","Plastics/rubber","Truck","1.332436"
"Birmingham AL","Los Angeles CA","Plastics/rubber","Truck","2.064606"
"Birmingham AL","Sacramento CA","Plastics/rubber","Truck","0.349423"
"Birmingham AL","San Francisco CA","Plastics/rubber","Truck","0.164358"
"Birmingham AL","Fresno CA","Plastics/rubber","Truck","0.003009"
"Birmingham AL","Denver CO","Plastics/rubber","Truck","0.227776"
"Birmingham AL","Rest of CO","Plastics/rubber","Truck","0.989984"
"Birmingham AL","Philadelphia PA-NJ-DE-MD (DE Part)","Plastics/rubber","Truck","2.371379"
"Birmingham AL","Jacksonville FL-GA  CFS Area (FL Part)","Plastics/rubber","Truck","0.264989"
"Birmingham AL","Miami FL","Plastics/rubber","Truck","4.483342"
"Birmingham AL","Orlando FL","Plastics/rubber","Truck","4.020527"
"Birmingham AL","Tampa FL","Plastics/rubber","Truck","4.064620"
"Birmingham AL","Rest of FL","Plastics/rubber","Truck","4.508412"
"Birmingham AL","Atlanta GA","Plastics/rubber","Truck","6.819349"
"Birmingham AL","Rest of GA","Plastics/rubber","Truck","7.005047"
"Birmingham AL","Chicago IL-IN-WI (IL Part)","Plastics/rubber","Truck","3.348210"
"Birmingham AL","Rest of IL","Plastics/rubber","Truck","3.461285"
"Birmingham AL","Chicago IL-IN-WI (IN Part)","Plastics/rubber","Truck","0.070246"
"Birmingham AL","Indianapolis IN","Plastics/rubber","Truck","3.258404"
"Birmingham AL","Fort Wayne IN","Plastics/rubber","Truck","0.531665"
"Birmingham AL","Rest of IN","Plastics/rubber","Truck","2.005107"
"Birmingham AL","Iowa","Plastics/rubber","Truck","4.363432"
"Birmingham AL","Kansas City MO-KS (KS Part)","Plastics/rubber","Truck","0.080412"
"Birmingham AL","Rest of KS","Plastics/rubber","Truck","0.315468"
"Birmingham AL","Louisville KY-IN (KY Part)","Plastics/rubber","Truck","0.395308"
"Birmingham AL","Rest of KY","Plastics/rubber","Truck","1.858409"
"Birmingham AL","Baton Rouge LA","Plastics/rubber","Truck","0.164319"
"Birmingham AL","Lake Charles LA","Plastics/rubber","Truck","1.683416"
"Birmingham AL","New Orleans LA-MS (LA Part)","Plastics/rubber","Truck","3.056055"
"Birmingham AL","Rest of LA","Plastics/rubber","Truck","8.537711"
"Birmingham AL","Baltimore MD","Plastics/rubber","Truck","0.906383"
"Birmingham AL","Washington DC-VA-MD-WV (MD Part)","Plastics/rubber","Truck","0.894978"
"Birmingham AL","Rest of MD","Plastics/rubber","Truck","1.044173"
"Birmingham AL","Boston MA-RI-NH-CT (MA Part)","Plastics/rubber","Truck","1.291624"
"Birmingham AL","Detroit MI","Plastics/rubber","Truck","0.327576"
"Birmingham AL","Grand Rapids MI","Plastics/rubber","Truck","0.330536"
"Birmingham AL","Rest of MI","Plastics/rubber","Truck","0.411687"
"Birmingham AL","Minneapolis-St. Paul MN-WI (MN Part)","Plastics/rubber","Truck","0.202970"
"Birmingham AL","Rest of MN","Plastics/rubber","Truck","0.244198"
"Birmingham AL","Mississippi","Plastics/rubber","Truck","5.789930"
"Birmingham AL","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","3.290704"
"Birmingham AL","Rest of MO","Plastics/rubber","Truck","4.456594"
"Birmingham AL","Omaha NE-IA (NE Part)","Plastics/rubber","Truck","0.258238"
"Birmingham AL","Rest of NE","Plastics/rubber","Truck","0.135886"
"Birmingham AL","Boston MA-RI-NH-CT (NH Part)","Plastics/rubber","Truck","2.549306"
"Birmingham AL","New York NY-NJ-CT-PA (NJ Part)","Plastics/rubber","Truck","1.242700"
"Birmingham AL","Philadelphia PA-NJ-DE-MD (NJ Part)","Plastics/rubber","Truck","1.177716"
"Birmingham AL","New Mexico","Plastics/rubber","Truck","0.387889"
"Birmingham AL","Buffalo NY  CFS Area","Plastics/rubber","Truck","0.371424"
"Birmingham AL","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","1.322018"
"Birmingham AL","Rochester NY","Plastics/rubber","Truck","0.355711"
"Birmingham AL","Rest of NY","Plastics/rubber","Truck","0.283582"
"Birmingham AL","Charlotte NC-SC (NC Part)","Plastics/rubber","Truck","2.168917"
"Birmingham AL","Greensboro--Winston-Salem--High Point NC","Plastics/rubber","Truck","0.419505"
"Birmingham AL","Raleigh-Durham NC","Plastics/rubber","Truck","1.064505"
"Birmingham AL","Rest of NC","Plastics/rubber","Truck","3.621560"
"Birmingham AL","North Dakota","Plastics/rubber","Truck","0.140966"
"Birmingham AL","Cincinnati OH-KY-IN (OH Part)","Plastics/rubber","Truck","0.292569"
"Birmingham AL","Columbus OH","Plastics/rubber","Truck","4.540064"
"Birmingham AL","Dayton OH","Plastics/rubber","Truck","0.240679"
"Birmingham AL","Rest of OH","Plastics/rubber","Truck","0.229198"
"Birmingham AL","Oklahoma City OK","Plastics/rubber","Truck","1.955276"
"Birmingham AL","Tulsa OK","Plastics/rubber","Truck","0.015196"
"Birmingham AL","Rest of OK","Plastics/rubber","Truck","0.270639"
"Birmingham AL","Portland OR-WA (OR Part)","Plastics/rubber","Truck","0.240286"
"Birmingham AL","Philadelphia PA-NJ-DE-MD (PA Part)","Plastics/rubber","Truck","0.371600"
"Birmingham AL","New York NY-NJ-CT-PA (PA Part)","Plastics/rubber","Truck","1.406734"
"Birmingham AL","Rest of PA","Plastics/rubber","Truck","3.668408"
"Birmingham AL","Greenville SC","Plastics/rubber","Truck","0.295175"
"Birmingham AL","Rest of SC","Plastics/rubber","Truck","1.002490"
"Birmingham AL","South Dakota","Plastics/rubber","Truck","0.000110"
"Birmingham AL","Memphis TN-MS-AR (TN Part)","Plastics/rubber","Truck","0.866884"
"Birmingham AL","Nashville TN","Plastics/rubber","Truck","3.224863"
"Birmingham AL","Knoxville TN","Plastics/rubber","Truck","0.357564"
"Birmingham AL","Rest of TN","Plastics/rubber","Truck","1.968803"
"Birmingham AL","Dallas-Fort Worth TX-OK (TX Part)","Plastics/rubber","Truck","1.246772"
"Birmingham AL","Houston TX","Plastics/rubber","Truck","1.010843"
"Birmingham AL","San Antonio TX","Plastics/rubber","Truck","2.192261"
"Birmingham AL","Rest of TX","Plastics/rubber","Truck","5.019914"
"Birmingham AL","Salt Lake City UT","Plastics/rubber","Truck","0.201846"
"Birmingham AL","Richmond VA","Plastics/rubber","Truck","0.484213"
"Birmingham AL","Virginia Beach-Norfolk VA-NC (VA Part)","Plastics/rubber","Truck","2.137820"
"Birmingham AL","Washington DC-VA-MD-WV (VA Part)","Plastics/rubber","Truck","0.288980"
"Birmingham AL","Rest of VA","Plastics/rubber","Truck","4.756408"
"Birmingham AL","Seattle WA","Plastics/rubber","Truck","0.234272"
"Birmingham AL","Rest of WA","Plastics/rubber","Truck","0.200761"
"Birmingham AL","West Virginia","Plastics/rubber","Truck","0.280232"
"Birmingham AL","Milwaukee WI","Plastics/rubber","Truck","1.250814"
"Birmingham AL","Rest of WI","Plastics/rubber","Truck","2.231434"
"Birmingham AL","Wyoming","Plastics/rubber","Truck","0.000102"
"Mobile AL","Birmingham AL","Plastics/rubber","Truck","0.251566"
"Mobile AL","Mobile AL","Plastics/rubber","Truck","31.846949"
"Mobile AL","Rest of AL","Plastics/rubber","Truck","2.944940"
"Mobile AL","Tucson AZ","Plastics/rubber","Truck","0.252230"
"Mobile AL","Los Angeles CA","Plastics/rubber","Truck","0.265863"
"Mobile AL","Miami FL","Plastics/rubber","Truck","0.289214"
"Mobile AL","Tampa FL","Plastics/rubber","Truck","4.015184"
"Mobile AL","Rest of FL","Plastics/rubber","Truck","8.899632"
"Mobile AL","Atlanta GA","Plastics/rubber","Truck","0.899558"
"Mobile AL","Rest of GA","Plastics/rubber","Truck","0.249509"
"Mobile AL","Chicago IL-IN-WI (IL Part)","Plastics/rubber","Truck","0.289844"
"Mobile AL","Rest of IL","Plastics/rubber","Truck","2.976293"
"Mobile AL","Indianapolis IN","Plastics/rubber","Truck","0.512379"
"Mobile AL","Rest of IN","Plastics/rubber","Truck","0.338246"
"Mobile AL","Louisville KY-IN (KY Part)","Plastics/rubber","Truck","0.243662"
"Mobile AL","Rest of KY","Plastics/rubber","Truck","0.109099"
"Mobile AL","New Orleans LA-MS (LA Part)","Plastics/rubber","Truck","0.269231"
"Mobile AL","Rest of LA","Plastics/rubber","Truck","0.787580"
"Mobile AL","Maine","Plastics/rubber","Truck","0.002696"
"Mobile AL","Baltimore MD","Plastics/rubber","Truck","4.132602"
"Mobile AL","Detroit MI","Plastics/rubber","Truck","0.294820"
"Mobile AL","Grand Rapids MI","Plastics/rubber","Truck","1.652604"
"Mobile AL","Rest of MI","Plastics/rubber","Truck","5.091843"
"Mobile AL","Minneapolis-St. Paul MN-WI (MN Part)","Plastics/rubber","Truck","0.169579"
"Mobile AL","Rest of MN","Plastics/rubber","Truck","0.549415"
"Mobile AL","Mississippi","Plastics/rubber","Truck","9.111311"
"Mobile AL","Kansas City MO-KS (MO Part)","Plastics/rubber","Truck","0.030620"
"Mobile AL","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","0.266148"
"Mobile AL","Rest of MO","Plastics/rubber","Truck","0.001936"
"Mobile AL","Boston MA-RI-NH-CT (NH Part)","Plastics/rubber","Truck","0.294486"
"Mobile AL","New York NY-NJ-CT-PA (NJ Part)","Plastics/rubber","Truck","0.099181"
"Mobile AL","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","107.399147"
"Mobile AL","Rochester NY","Plastics/rubber","Truck","0.952815"
"Mobile AL","Charlotte NC-SC (NC Part)","Plastics/rubber","Truck","0.332588"
"Mobile AL","Greensboro--Winston-Salem--High Point NC","Plastics/rubber","Truck","0.257892"
"Mobile AL","Rest of NC","Plastics/rubber","Truck","1.158427"
"Mobile AL","Cleveland OH","Plastics/rubber","Truck","1.066847"
"Mobile AL","Dayton OH","Plastics/rubber","Truck","7.792292"
"Mobile AL","Rest of OH","Plastics/rubber","Truck","16.214243"
"Mobile AL","Philadelphia PA-NJ-DE-MD (PA Part)","Plastics/rubber","Truck","0.299980"
"Mobile AL","Pittsburgh PA-OH-WV (PA Part)","Plastics/rubber","Truck","0.036602"
"Mobile AL","Rest of PA","Plastics/rubber","Truck","0.937012"
"Mobile AL","Boston MA-RI-NH-CT (RI Part)","Plastics/rubber","Truck","0.366719"
"Mobile AL","Greenville SC","Plastics/rubber","Truck","0.281815"
"Mobile AL","Rest of SC","Plastics/rubber","Truck","0.040678"
"Mobile AL","Memphis TN-MS-AR (TN Part)","Plastics/rubber","Truck","0.275490"
"Mobile AL","Nashville TN","Plastics/rubber","Truck","4.773768"
"Mobile AL","Knoxville TN","Plastics/rubber","Truck","0.038458"
"Mobile AL","Rest of TN","Plastics/rubber","Truck","1.060162"
"Mobile AL","El Paso TX-NM (TX Part)","Plastics/rubber","Truck","0.193970"
"Mobile AL","San Antonio TX","Plastics/rubber","Truck","0.006801"
"Mobile AL","Rest of TX","Plastics/rubber","Truck","1.097178"
"Mobile AL","Salt Lake City UT","Plastics/rubber","Truck","0.000098"
"Mobile AL","West Virginia","Plastics/rubber","Truck","0.278296"
"Mobile AL","Rest of WI","Plastics/rubber","Truck","0.266235"
"Rest of AL","Birmingham AL","Plastics/rubber","Truck","91.366814"
"Rest of AL","Mobile AL","Plastics/rubber","Truck","8.137426"
"Rest of AL","Rest of AL","Plastics/rubber","Truck","325.797729"
"Rest of AL","Phoenix AZ","Plastics/rubber","Truck","0.439835"
"Rest of AL","Tucson AZ","Plastics/rubber","Truck","6.892118"
"Rest of AL","Rest of AZ","Plastics/rubber","Truck","0.220219"
"Rest of AL","Arkansas","Plastics/rubber","Truck","20.543760"
"Rest of AL","Los Angeles CA","Plastics/rubber","Truck","43.587410"
"Rest of AL","Sacramento CA","Plastics/rubber","Truck","0.813333"
"Rest of AL","San Diego CA","Plastics/rubber","Truck","2.276756"
"Rest of AL","San Francisco CA","Plastics/rubber","Truck","10.379337"
"Rest of AL","Rest of CA","Plastics/rubber","Truck","0.355339"
"Rest of AL","Denver CO","Plastics/rubber","Truck","0.205474"
"Rest of AL","Rest of CO","Plastics/rubber","Truck","0.106542"
"Rest of AL","Hartford CT","Plastics/rubber","Truck","24.247292"
"Rest of AL","New York NY-NJ-CT-PA (CT Part)","Plastics/rubber","Truck","0.246622"
"Rest of AL","Jacksonville FL-GA  CFS Area (FL Part)","Plastics/rubber","Truck","1.098041"
"Rest of AL","Miami FL","Plastics/rubber","Truck","18.019815"
"Rest of AL","Orlando FL","Plastics/rubber","Truck","25.472204"
"Rest of AL","Tampa FL","Plastics/rubber","Truck","9.983418"
"Rest of AL","Rest of FL","Plastics/rubber","Truck","18.200966"
"Rest of AL","Atlanta GA","Plastics/rubber","Truck","132.619385"
"Rest of AL","Savannah GA","Plastics/rubber","Truck","17.116529"
"Rest of AL","Rest of GA","Plastics/rubber","Truck","198.936249"
"Rest of AL","Idaho","Plastics/rubber","Truck","3.449954"
"Rest of AL","Chicago IL-IN-WI (IL Part)","Plastics/rubber","Truck","130.632050"
"Rest of AL","St. Louis MO-IL (IL Part)","Plastics/rubber","Truck","0.289045"
"Rest of AL","Rest of IL","Plastics/rubber","Truck","23.408752"
"Rest of AL","Indianapolis IN","Plastics/rubber","Truck","25.318645"
"Rest of AL","Fort Wayne IN","Plastics/rubber","Truck","41.986813"
"Rest of AL","Rest of IN","Plastics/rubber","Truck","58.370193"
"Rest of AL","Iowa","Plastics/rubber","Truck","18.445948"
"Rest of AL","Wichita KS","Plastics/rubber","Truck","43.222797"
"Rest of AL","Rest of KS","Plastics/rubber","Truck","2.236714"
"Rest of AL","Cincinnati OH-KY-IN (KY Part)","Plastics/rubber","Truck","47.269020"
"Rest of AL","Louisville KY-IN (KY Part)","Plastics/rubber","Truck","12.825785"
"Rest of AL","Rest of KY","Plastics/rubber","Truck","51.000195"
"Rest of AL","Baton Rouge LA","Plastics/rubber","Truck","4.519929"
"Rest of AL","New Orleans LA-MS (LA Part)","Plastics/rubber","Truck","2.241449"
"Rest of AL","Rest of LA","Plastics/rubber","Truck","0.976353"
"Rest of AL","Maine","Plastics/rubber","Truck","3.383608"
"Rest of AL","Baltimore MD","Plastics/rubber","Truck","5.074180"
"Rest of AL","Washington DC-VA-MD-WV (MD Part)","Plastics/rubber","Truck","0.187661"
"Rest of AL","Rest of MD","Plastics/rubber","Truck","1.266295"
"Rest of AL","Boston MA-RI-NH-CT (MA Part)","Plastics/rubber","Truck","12.504357"
"Rest of AL","Rest of MA","Plastics/rubber","Truck","0.102255"
"Rest of AL","Detroit MI","Plastics/rubber","Truck","34.110748"
"Rest of AL","Grand Rapids MI","Plastics/rubber","Truck","0.315805"
"Rest of AL","Rest of MI","Plastics/rubber","Truck","16.603132"
"Rest of AL","Minneapolis-St. Paul MN-WI (MN Part)","Plastics/rubber","Truck","4.258269"
"Rest of AL","Rest of MN","Plastics/rubber","Truck","18.075523"
"Rest of AL","Mississippi","Plastics/rubber","Truck","84.492577"
"Rest of AL","Kansas City MO-KS (MO Part)","Plastics/rubber","Truck","0.359185"
"Rest of AL","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","10.263673"
"Rest of AL","Rest of MO","Plastics/rubber","Truck","5.729725"
"Rest of AL","Omaha NE-IA (NE Part)","Plastics/rubber","Truck","0.853068"
"Rest of AL","Rest of NE","Plastics/rubber","Truck","20.934723"
"Rest of AL","Las Vegas NV-AZ (NV Part)","Plastics/rubber","Truck","6.924438"
"Rest of AL","Boston MA-RI-NH-CT (NH Part)","Plastics/rubber","Truck","1.132043"
"Rest of AL","New York NY-NJ-CT-PA (NJ Part)","Plastics/rubber","Truck","58.271168"
"Rest of AL","Philadelphia PA-NJ-DE-MD (NJ Part)","Plastics/rubber","Truck","0.325806"
"Rest of AL","Albany NY  CFS Area","Plastics/rubber","Truck","25.417988"
"Rest of AL","Buffalo NY  CFS Area","Plastics/rubber","Truck","1.144170"
"Rest of AL","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","11.039262"
"Rest of AL","Rochester NY","Plastics/rubber","Truck","3.026465"
"Rest of AL","Rest of NY","Plastics/rubber","Truck","0.250939"
"Rest of AL","Charlotte NC-SC (NC Part)","Plastics/rubber","Truck","27.321405"
"Rest of AL","Greensboro--Winston-Salem--High Point NC","Plastics/rubber","Truck","26.425133"
"Rest of AL","Raleigh-Durham NC","Plastics/rubber","Truck","7.402885"
"Rest of AL","Rest of NC","Plastics/rubber","Truck","7.146009"
"Rest of AL","Cincinnati OH-KY-IN (OH Part)","Plastics/rubber","Truck","0.519679"
"Rest of AL","Cleveland OH","Plastics/rubber","Truck","92.048599"
"Rest of AL","Columbus OH","Plastics/rubber","Truck","19.835518"
"Rest of AL","Dayton OH","Plastics/rubber","Truck","1.330390"
"Rest of AL","Rest of OH","Plastics/rubber","Truck","35.706009"
"Rest of AL","Oklahoma City OK","Plastics/rubber","Truck","0.610369"
"Rest of AL","Tulsa OK","Plastics/rubber","Truck","1.198038"
"Rest of AL","Rest of OK","Plastics/rubber","Truck","18.818600"
"Rest of AL","Portland OR-WA (OR Part)","Plastics/rubber","Truck","0.085596"
"Rest of AL","Philadelphia PA-NJ-DE-MD (PA Part)","Plastics/rubber","Truck","32.174751"
"Rest of AL","Pittsburgh PA-OH-WV (PA Part)","Plastics/rubber","Truck","2.573526"
"Rest of AL","New York NY-NJ-CT-PA (PA Part)","Plastics/rubber","Truck","12.781033"
"Rest of AL","Rest of PA","Plastics/rubber","Truck","61.284336"
"Rest of AL","Boston MA-RI-NH-CT (RI Part)","Plastics/rubber","Truck","0.636054"
"Rest of AL","Greenville SC","Plastics/rubber","Truck","209.406433"
"Rest of AL","Rest of SC","Plastics/rubber","Truck","160.297516"
"Rest of AL","South Dakota","Plastics/rubber","Truck","2.267816"
"Rest of AL","Memphis TN-MS-AR (TN Part)","Plastics/rubber","Truck","16.553303"
"Rest of AL","Nashville TN","Plastics/rubber","Truck","30.625731"
"Rest of AL","Knoxville TN","Plastics/rubber","Truck","21.366812"
"Rest of AL","Rest of TN","Plastics/rubber","Truck","95.741074"
"Rest of AL","Austin TX","Plastics/rubber","Truck","0.337351"
"Rest of AL","Dallas-Fort Worth TX-OK (TX Part)","Plastics/rubber","Truck","23.944681"
"Rest of AL","El Paso TX-NM (TX Part)","Plastics/rubber","Truck","2.018681"
"Rest of AL","Houston TX","Plastics/rubber","Truck","30.168293"
"Rest of AL","Laredo TX","Plastics/rubber","Truck","0.409049"
"Rest of AL","San Antonio TX","Plastics/rubber","Truck","1.193780"
"Rest of AL","Rest of TX","Plastics/rubber","Truck","12.345135"
"Rest of AL","Salt Lake City UT","Plastics/rubber","Truck","4.174019"
"Rest of AL","Vermont","Plastics/rubber","Truck","0.313740"
"Rest of AL","Richmond VA","Plastics/rubber","Truck","0.495972"
"Rest of AL","Virginia Beach-Norfolk VA-NC (VA Part)","Plastics/rubber","Truck","5.278258"
"Rest of AL","Washington DC-VA-MD-WV (VA Part)","Plastics/rubber","Truck","0.103017"
"Rest of AL","Rest of VA","Plastics/rubber","Truck","24.010921"
"Rest of AL","Portland OR-WA (WA Part)","Plastics/rubber","Truck","0.857653"
"Rest of AL","Rest of WA","Plastics/rubber","Truck","0.225423"
"Rest of AL","West Virginia","Plastics/rubber","Truck","14.158942"
"Rest of AL","Milwaukee WI","Plastics/rubber","Truck","12.456587"
"Rest of AL","Rest of WI","Plastics/rubber","Truck","21.053040"
"Alaska","Alaska","Plastics/rubber","Truck","45.648739"
"Phoenix AZ","Rest of AL","Plastics/rubber","Truck","0.121073"
"Phoenix AZ","Phoenix AZ","Plastics/rubber","Truck","307.550140"
"Phoenix AZ","Tucson AZ","Plastics/rubber","Truck","26.870659"
"Phoenix AZ","Rest of AZ","Plastics/rubber","Truck","25.497486"
"Phoenix AZ","Los Angeles CA","Plastics/rubber","Truck","125.049507"
"Phoenix AZ","Sacramento CA","Plastics/rubber","Truck","14.388840"
"Phoenix AZ","San Diego CA","Plastics/rubber","Truck","17.161308"
"Phoenix AZ","San Francisco CA","Plastics/rubber","Truck","78.239754"
"Phoenix AZ","Fresno CA","Plastics/rubber","Truck","3.962704"
"Phoenix AZ","Rest of CA","Plastics/rubber","Truck","20.095980"
"Phoenix AZ","Denver CO","Plastics/rubber","Truck","22.305561"
"Phoenix AZ","Rest of CO","Plastics/rubber","Truck","4.119949"
"Phoenix AZ","Miami FL","Plastics/rubber","Truck","0.340112"
"Phoenix AZ","Orlando FL","Plastics/rubber","Truck","0.366120"
"Phoenix AZ","Tampa FL","Plastics/rubber","Truck","0.332838"
"Phoenix AZ","Atlanta GA","Plastics/rubber","Truck","1.233485"
"Phoenix AZ","Rest of GA","Plastics/rubber","Truck","0.504859"
"Phoenix AZ","Idaho","Plastics/rubber","Truck","1.159367"
"Phoenix AZ","Chicago IL-IN-WI (IL Part)","Plastics/rubber","Truck","7.584865"
"Phoenix AZ","Rest of IL","Plastics/rubber","Truck","0.109588"
"Phoenix AZ","Rest of IN","Plastics/rubber","Truck","0.662781"
"Phoenix AZ","Iowa","Plastics/rubber","Truck","0.319254"
"Phoenix AZ","Kansas City MO-KS (KS Part)","Plastics/rubber","Truck","0.314665"
"Phoenix AZ","Wichita KS","Plastics/rubber","Truck","0.403492"
"Phoenix AZ","Rest of KS","Plastics/rubber","Truck","4.388458"
"Phoenix AZ","Louisville KY-IN (KY Part)","Plastics/rubber","Truck","0.079878"
"Phoenix AZ","Rest of KY","Plastics/rubber","Truck","0.177694"
"Phoenix AZ","Baton Rouge LA","Plastics/rubber","Truck","0.182773"
"Phoenix AZ","Rest of LA","Plastics/rubber","Truck","0.213248"
"Phoenix AZ","Baltimore MD","Plastics/rubber","Truck","0.130691"
"Phoenix AZ","Boston MA-RI-NH-CT (MA Part)","Plastics/rubber","Truck","0.114107"
"Phoenix AZ","Detroit MI","Plastics/rubber","Truck","0.480044"
"Phoenix AZ","Grand Rapids MI","Plastics/rubber","Truck","2.574750"
"Phoenix AZ","Rest of MI","Plastics/rubber","Truck","0.281848"
"Phoenix AZ","Minneapolis-St. Paul MN-WI (MN Part)","Plastics/rubber","Truck","0.258355"
"Phoenix AZ","Rest of MN","Plastics/rubber","Truck","0.010612"
"Phoenix AZ","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","4.681622"
"Phoenix AZ","Rest of MO","Plastics/rubber","Truck","0.207636"
"Phoenix AZ","Montana","Plastics/rubber","Truck","0.409391"
"Phoenix AZ","Las Vegas NV-AZ (NV Part)","Plastics/rubber","Truck","13.070426"
"Phoenix AZ","Rest of NV","Plastics/rubber","Truck","2.210311"
"Phoenix AZ","New York NY-NJ-CT-PA (NJ Part)","Plastics/rubber","Truck","1.352120"
"Phoenix AZ","New Mexico","Plastics/rubber","Truck","10.464691"
"Phoenix AZ","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","7.103299"
"Phoenix AZ","Rest of NY","Plastics/rubber","Truck","0.839467"
"Phoenix AZ","Greensboro--Winston-Salem--High Point NC","Plastics/rubber","Truck","0.234504"
"Phoenix AZ","Rest of NC","Plastics/rubber","Truck","0.055191"
"Phoenix AZ","North Dakota","Plastics/rubber","Truck","1.236849"
"Phoenix AZ","Cleveland OH","Plastics/rubber","Truck","0.218764"
"Phoenix AZ","Oklahoma City OK","Plastics/rubber","Truck","0.350266"
"Phoenix AZ","Tulsa OK","Plastics/rubber","Truck","0.004259"
"Phoenix AZ","Portland OR-WA (OR Part)","Plastics/rubber","Truck","2.187450"
"Phoenix AZ","Rest of OR","Plastics/rubber","Truck","2.733274"
"Phoenix AZ","Philadelphia PA-NJ-DE-MD (PA Part)","Plastics/rubber","Truck","2.586511"
"Phoenix AZ","Pittsburgh PA-OH-WV (PA Part)","Plastics/rubber","Truck","0.148317"
"Phoenix AZ","New York NY-NJ-CT-PA (PA Part)","Plastics/rubber","Truck","0.091323"
"Phoenix AZ","Rest of PA","Plastics/rubber","Truck","1.347406"
"Phoenix AZ","Boston MA-RI-NH-CT (RI Part)","Plastics/rubber","Truck","0.099510"
"Phoenix AZ","Greenville SC","Plastics/rubber","Truck","3.726357"
"Phoenix AZ","Rest of SC","Plastics/rubber","Truck","0.378406"
"Phoenix AZ","South Dakota","Plastics/rubber","Truck","0.348271"
"Phoenix AZ","Knoxville TN","Plastics/rubber","Truck","0.367682"
"Phoenix AZ","Austin TX","Plastics/rubber","Truck","6.785576"
"Phoenix AZ","Dallas-Fort Worth TX-OK (TX Part)","Plastics/rubber","Truck","17.995022"
"Phoenix AZ","El Paso TX-NM (TX Part)","Plastics/rubber","Truck","10.675148"
"Phoenix AZ","Houston TX","Plastics/rubber","Truck","8.117608"
"Phoenix AZ","Laredo TX","Plastics/rubber","Truck","2.712551"
"Phoenix AZ","San Antonio TX","Plastics/rubber","Truck","1.026982"
"Phoenix AZ","Rest of TX","Plastics/rubber","Truck","5.985484"
"Phoenix AZ","Salt Lake City UT","Plastics/rubber","Truck","30.290380"
"Phoenix AZ","Rest of UT","Plastics/rubber","Truck","9.086461"
"Phoenix AZ","Washington DC-VA-MD-WV (VA Part)","Plastics/rubber","Truck","0.132130"
"Phoenix AZ","Rest of VA","Plastics/rubber","Truck","0.037003"
"Phoenix AZ","Seattle WA","Plastics/rubber","Truck","38.362644"
"Phoenix AZ","Rest of WA","Plastics/rubber","Truck","0.285497"
"Phoenix AZ","Rest of WI","Plastics/rubber","Truck","1.061490"
"Phoenix AZ","Wyoming","Plastics/rubber","Truck","0.257011"
"Tucson AZ","Birmingham AL","Plastics/rubber","Truck","0.132695"
"Tucson AZ","Phoenix AZ","Plastics/rubber","Truck","0.846211"
"Tucson AZ","Tucson AZ","Plastics/rubber","Truck","18.651268"
"Tucson AZ","Rest of AZ","Plastics/rubber","Truck","3.793281"
"Tucson AZ","Arkansas","Plastics/rubber","Truck","0.062941"
"Tucson AZ","Los Angeles CA","Plastics/rubber","Truck","0.434137"
"Tucson AZ","Sacramento CA","Plastics/rubber","Truck","0.001324"
"Tucson AZ","San Francisco CA","Plastics/rubber","Truck","0.213837"
"Tucson AZ","Fresno CA","Plastics/rubber","Truck","0.056644"
"Tucson AZ","Rest of CA","Plastics/rubber","Truck","0.130413"
"Tucson AZ","Denver CO","Plastics/rubber","Truck","0.220024"
"Tucson AZ","Idaho","Plastics/rubber","Truck","0.114199"
"Tucson AZ","Chicago IL-IN-WI (IL Part)","Plastics/rubber","Truck","0.168969"
"Tucson AZ","Rest of IL","Plastics/rubber","Truck","0.128241"
"Tucson AZ","Chicago IL-IN-WI (IN Part)","Plastics/rubber","Truck","0.000604"
"Tucson AZ","Indianapolis IN","Plastics/rubber","Truck","0.221300"
"Tucson AZ","Rest of IN","Plastics/rubber","Truck","0.230504"
"Tucson AZ","Kansas City MO-KS (KS Part)","Plastics/rubber","Truck","0.234327"
"Tucson AZ","Rest of MA","Plastics/rubber","Truck","0.236678"
"Tucson AZ","Rest of MI","Plastics/rubber","Truck","1.032884"
"Tucson AZ","St. Louis MO-IL (MO Part)","Plastics/rubber","Truck","0.177320"
"Tucson AZ","Montana","Plastics/rubber","Truck","0.095011"
"Tucson AZ","Rest of NE","Plastics/rubber","Truck","0.083381"
"Tucson AZ","Rest of NV","Plastics/rubber","Truck","0.207481"
"Tucson AZ","New Mexico","Plastics/rubber","Truck","0.853088"
"Tucson AZ","New York NY-NJ-CT-PA (NY Part)","Plastics/rubber","Truck","0.067532"
